dept_num;pob;cadres;activity_rate;tertiaire
1173;Gex;11.1;84.8;85.3
1174;Giron;6.7;80.9;76.2
1175;Gorrevod;4.7;76.2;57.4
1177;Grand-Corent;7;78.8;21.4
1179;Grièges;2.6;77.1;54.2
1180;Grilly;25.7;79.4;82.9
1181;Groissiat;2.8;77;34.1
1183;Guéreins;8.5;78.9;56.9
1184;Hautecourt-Romanèche;3.2;82.6;60.6
1185;Plateau d'Hauteville;3.8;74.7;86.8
1187;Haut Valromey;8.7;76.1;61.6
1188;Illiat;3.6;83.1;48.8
1189;Injoux-Génissiat;4.6;81.4;46.9
1190;Innimond;0;73.6;62.5
1191;Izenave;6.5;92.2;27.8
1192;Izernore;3.3;81.9;35.6
1193;Izieu;4.8;71.2;50
1194;Jassans-Riottier;3.8;77.8;76.5
1195;Jasseron;8.5;79.5;59.8
1196;Jayat;6.9;81.7;66
1197;Journans;6.6;82.6;79.5
1198;Joyeux;12.5;83.9;54.7
1199;Jujurieux;4.9;80.4;64.8
1200;Labalme;11.6;83;75
1202;Lagnieu;5.8;78.1;62.8
1203;Laiz;4.8;81.9;75.3
1204;Le Poizat-Lalleyriat;1.7;84.4;70.5
1206;Lantenay;9.6;86.3;48
1207;Lapeyrouse;15.7;84.2;58.2
1208;Lavours;0;77.9;89.3
1209;Léaz;11.8;83.9;102.3
1210;Lélex;4.9;84.7;87.3
1211;Lent;6.3;81.2;52.3
1212;Lescheroux;1.8;79.6;50.4
1213;Leyment;10.4;80.1;69.8
1214;Leyssard;7.2;79.8;100
1215;Surjoux-Lhopital;24.1;71.9;75
1216;Lhuis;10.5;77.1;62.2
1219;Lompnas;7.2;77.7;35.7
1224;Loyettes;6.5;82.2;40.6
1225;Lurcy;8.6;80.2;38.5
1227;Magnieu;1.9;77.1;66
1228;Maillat;4.1;80.3;30.1
1229;Malafretaz;3.8;84.4;81.8
1230;Mantenay-Montlin;0;79.7;67
1231;Manziat;4.2;82.2;53.7
1232;Marboz;3.3;79.1;70.6
1233;Marchamp;8.7;76.4;N/A - division par 0
1234;Marignieu;0;72.3;14.8
1235;Marlieux;3.2;79.5;51.5
1236;Marsonnas;6.5;81.7;52.3
1237;Martignat;5.5;80.7;30.9
1238;Massieux;7.2;81.2;63.9
1239;Massignieu-de-Rives;5.6;77.4;68.8
1240;Matafelon-Granges;7.6;81.3;48.5
1241;Meillonnas;1.8;74.1;85.9
1242;Mérignat;0;85.7;54.5
1243;Messimy-sur-Saône;9.3;77.3;78.7
1244;Meximieux;9.8;78.9;86.1
1245;Bohas-Meyriat-Rignat;10.5;83.2;82.8
1246;Mézériat;4.5;78.5;66
1247;Mijoux;11.2;83.3;66.9
1248;Mionnay;11.5;81;76.3
1249;Miribel;11.8;79.8;64.9
1250;Misérieux;10;77.9;91.9
1252;Mogneneins;6.4;81.4;69.1
1254;Montagnat;4.4;80.8;79.1
1255;Montagnieu;6.2;82;45.5
1257;Montanges;3.5;81.9;19
1258;Montceaux;10.4;82.4;69.3
1259;Montcet;10.8;82.6;87.2
1260;Le Montellier;5.3;83.8;53.2
1261;Monthieux;7.7;82;72.4
1262;Montluel;7.3;77.7;62.8
1263;Montmerle-sur-Saône;6.8;79;63.1
1264;Montracol;4.8;82.8;69.5
1265;Montréal-la-Cluse;4.8;71.9;49.6
1266;Montrevel-en-Bresse;2.8;78.5;72.1
1267;Nurieux-Volognat;4.9;81.6;32.5
1268;Murs-et-Gélignieux;4.9;81.7;61.5
1269;Nantua;5;76;76.1
1272;Neuville-les-Dames;3;81.1;65.2
1273;Neuville-sur-Ain;3.4;80.3;59.8
1274;Les Neyrolles;3.9;74;37.9
1275;Neyron;18.1;79.3;69.4
1276;Niévroz;9;79.5;57.4
1277;Nivollet-Montgriffon;0;75.3;0
1279;Oncieu;0;83.7;N/A - division par 0
1280;Ordonnaz;0;81.2;0
1281;Ornex;17.2;81.1;91.2
1282;Outriaz;9.3;81.2;14.8
1283;Oyonnax;3.7;70.2;65.3
1284;Ozan;3.4;80.5;63.7
1285;Parcieux;13.9;85.6;71.4
1286;Parves et Nattages;10.4;77.8;58.3
1288;Péron;12.6;84.5;88.7
1289;Péronnas;6.1;77;75.3
1290;Pérouges;10.3;78.9;66.6
1291;Perrex;4.1;82.1;27.4
1293;Peyriat;0;78.9;77.3
1294;Peyrieu;6.5;80.1;74.1
1295;Peyzieux-sur-Saône;4.4;86;47.1
1296;Pirajoux;17.4;82.5;40
1297;Pizay;8.9;81.5;69.1
1298;Plagne;9.1;83.5;35.3
1299;Le Plantay;6.7;74.2;66.7
1301;Polliat;5.9;80.1;60.6
1302;Pollieu;0;77.8;N/A - division par 0
1303;Poncin;6.9;82.1;66.8
1304;Pont-d'Ain;4.6;78.9;75.4
1305;Pont-de-Vaux;2.1;77.9;74
1306;Pont-de-Veyle;4.2;83.8;84.9
1307;Port;7.1;75.8;44.6
1308;Pougny;8.7;78.6;53.2
1309;Pouillat;0;87.8;100
1310;Prémeyzel;0;34.8;99.2
1311;Prémillieu;0;86.2;0
1313;Prévessin-Moëns;18.2;80.6;91.9
1314;Priay;10.7;83.5;68
1317;Ramasse;3.9;82.7;75
