name;tag;dob;pob
François Thibault;executive;1835;Châtillon-sur-Cher et
Françoise Gri;executive;1957;Agen
Frederic Delpy;executive;1971;Orléans
Frédéric Gagey;executive;1956;Vesoul
Frédéric Mazella;executive;1976;Nantes
Frédéric Mazzella;executive;1976;Nantes
Frederic Oudéa;executive;1963;Paris 15
Frederic Saint-Geours;executive;1950;Clamart
Georges Pauget;executive;1947;Rumilly (Haute-Savoie)
Gérard Hauser;executive;1941;Strasbourg
Gerard Mestrallet;executive;1949;Paris
Gérard Mestrallet;executive;1949;Paris
Gilles Grapinet;executive;1963;Aix-en-Provence
Gilles Schnepp;executive;1958;Lyon
Giovanna Melandri;executive;1962;New York
Giovanni Bisignani;executive;1946;Rome
Giovanni Bisignani;executive;1946;Rome
Guillaume Andre;executive;;Falaise
Guillaume Faury;executive;1968;Cherbourg
Guillaume Faury;executive;1968;Cherbourg
Henri De-La-Croix-De-Castries;executive;1954;Bayonne dans les années 1950
Henri Poupart-Lafarge;executive;1969;Nancy
Henri Proglio;executive;1949;Antibes
Henri Proglio;executive;1949;Antibes
Henrietta Fore;executive;1948;Chicago
Henrietta Holsman;executive;1948;Chicago
Herve Chaillou;executive;1946;Rennes
Herve Chaillou;executive;1946;Rennes
Hubert Sagnieres;executive;1955;Vienne
Hubert Sagnieres;executive;1955;Vienne
Hubert Vedrine;executive;1947;Bellegarde-en-Marche
Hugues Brasseur;executive;1971;Neuilly-sur-Seine
Ian Gallienne;executive;1972;Neuilly-sur-Seine
Irène Dorner;executive;;Athènes
Iris Knobloch;executive;1963;Munich
Iris Knobloch;executive;1963;Munich
Isabelle Kocher;executive;1966;Neuilly-sur-Seine
Isabelle Kocher;executive;1966;Neuilly-sur-Seine
Isabelle Simon;executive;1927;Nice
Jacques Aschenbroich;executive;1954;Lyon
Jacques Aschenbroich;executive;1954;Lyon
Jacques Aschenbroich;executive;1954;Lyon
Jacques Granjon;executive;1962;Marseille
Jean Bailly;executive;1922;Saint-Germain-le-Châtelet
Jean Charest;executive;1958;Sherbrooke
Jean Clamadieu;executive;1958;Chambéry
Jean Clamadieu;executive;1958;Chambéry
Jean Folz;executive;1947;Strasbourg
Jean Forneri;executive;1959;Marseille
Jean Forneri;executive;1959;Marseille
Jean Janaillac;executive;1953;Saint-Sulpice-de-Roum
Jean Lemierre;executive;1950;Sainte-Adresse
Jean Lemierre;executive;1950;Sainte-Adresse
Jean Meyers;executive;1986;Neuilly-sur-Seine
Jean Moreau;executive;1928;Paris 10
Jean Naouri;executive;1949;Annaba
Jean Roverato;executive;1944;Dijon
Jean Senard;executive;1953;Neuilly-sur-Seine
Jean Severino;executive;1957;Abidjan
Jean Simon;executive;1912;Brest
Jean-dominique Comolli;executive;1948;Béjaïa
