name;tag;dob;pob
Marc Fesneaux;ministre;Not found;Not found
Fabila Khattabi;ministre;Not found;Not found
Amélie Oudéa Castéra;ministre;Not found;Not found
Agnes Pannier Runacher;ministre;Not found;Not found
Franck Riester;ministre;Not found;Not found
Prisca Thévenot ((Mme);ministre;Not found;Not found
Laurent Saint Martin;ministre;Not found;Not found
Marie Agnes Poussier-Winsback;ministre;Not found;Not found
François Noel Buffet;ministre;Not found;Not found
Charlotte Parmentier Lecoq;ministre;Not found;Not found
Jean Noel Barrot;ministre;Not found;Not found
Agnes Pannier Runacher;ministre;Not found;Not found
Jean Louis Thiriot;ministre;Not found;Not found
Valérie Letard;ministre;Not found;Not found
Astrid Panosyan Bouvet;ministre;Not found;Not found
Marie Claire Carrère Gée;ministre;Not found;Not found
Amélie De Montchalin;ministre;Not found;Not found
Véronique Lowagie;ministre;Not found;Not found
Jean Noel Barrot;ministre;Not found;Not found
Laurent Saint Martin;ministre;Not found;Not found
Gérard Darmanin;ministre;Not found;Not found
Patricia Miralles;ministre;Not found;Not found
Jean Noel Buffet;ministre;Not found;Not found
Catherine Vaurin;ministre;Not found;Not found
Astrid Panosian Bouvet;ministre;Not found;Not found
Charlotte Parmentier Lecoq;ministre;Not found;Not found
Valerie Létard;ministre;Not found;Not found
Agnès Pannier Runacher;ministre;Not found;Not found
Aurore Berger;ministre;Not found;Not found
Amélie de Monchalin;ministre;Not found;Not found
Serge Sapin;ministre;Not found;Not found
Jean-Noel Barrot;ministre;Not found;Not found
Eléonore Caroit;ministre;Not found;Not found
nan nan;ministre;Not found;Not found
Catherine Lefevre;ministre;Not found;Not found
Louis Joxe;ministre;1901;Bourg-la-Reine
Louis Joxe;ministre;1901;Bourg-la-Reine
Louis Joxe;ministre;1901;Bourg-la-Reine
Louis Joxe;ministre;1901;Bourg-la-Reine
Louis Joxe;ministre;1901;Bourg-la-Reine
Louis Joxe;ministre;1901;Bourg-la-Reine
Louis Joxe;ministre;1901;Bourg-la-Reine
Louis Joxe;ministre;1901;Bourg-la-Reine
Louis Jacquinot;ministre;1898;Gondrecourt-le-Château
Louis Jacquinot;ministre;1898;Gondrecourt-le-Château
Louis Jacquinot;ministre;1898;Gondrecourt-le-Château
Louis Jacquinot;ministre;1898;Gondrecourt-le-Château
Louis Jacquinot;ministre;1898;Gondrecourt-le-Château
Louis Jacquinot;ministre;1898;Gondrecourt-le-Château
André Malraux;ministre;1901;Paris 18
André Malraux;ministre;1901;Paris 18
André Malraux;ministre;1901;Paris 18
André Malraux;ministre;1901;Paris 18
André Malraux;ministre;1901;Paris 18
André Malraux;ministre;1901;Paris 18
André Malraux;ministre;1901;Paris 18
André Malraux;ministre;1901;Paris 18
Nelly Olin;ministre;1941;Paris 18
Nelly Olin;ministre;1941;Paris 18
Edmond Michelet;ministre;1899;Paris 19
Edmond Michelet;ministre;1899;Paris 19
Edmond Michelet;ministre;1899;Paris 19
André Fosset;ministre;1918;Paris 19
Eric Raoult;ministre;1955;Paris 19
Jean Berthoin;ministre;1895;Enghien-les-Bains
Pierre Guillaumat;ministre;1909;La Flèche
Pierre Guillaumat;ministre;1909;La Flèche
Pierre Guillaumat;ministre;1909;La Flèche
Roger Houdet;ministre;1899;Angers
Jean Poperen;ministre;1925;Angers
Jean Poperen;ministre;1925;Angers
Jean Poperen;ministre;1925;Angers
Christophe Bechu;ministre;1974;Angers
Christophe Bechu;ministre;1974;Angers
Christophe Béchu;ministre;1974;Angers
Christophe Bechu;ministre;1974;Angers
Bernard Chenot;ministre;1909;Paris 6
Robert Buron;ministre;1910;Paris 6
Bernard Chenot;ministre;1909;Paris 6
Robert Buron;ministre;1910;Paris 6
Bernard Chenot;ministre;1909;Paris 6
Robert Buron;ministre;1910;Paris 6
Robert Buron;ministre;1910;Paris 6
Jacques Duhamel;ministre;1924;Paris 6
Jacques Duhamel;ministre;1924;Paris 6
Jacques Duhamel;ministre;1924;Paris 6
Philippe Richer;ministre;1923;Paris 6
Philippe Richer;ministre;1923;Paris 6
Bernard Cornut-Gentille;ministre;1909;Brest
Pierre Sudreau;ministre;1919;Paris 9
Pierre Sudreau;ministre;1919;Paris 9
Pierre Sudreau;ministre;1919;Paris 9
Pierre Sudreau;ministre;1919;Paris 9
Gaston Palewski;ministre;1901;Paris 9
Gaston Palewski;ministre;1901;Paris 9
Christine Lagarde;ministre;1956;Paris 9
Christine Lagarde;ministre;1956;Paris 9
Christine Lagarde;ministre;1956;Paris 9
Christine Lagarde;ministre;1956;Paris 9
Christine Lagarde;ministre;1956;Paris 9
Christine Lagarde;ministre;1956;Paris 9
Christine Lagarde;ministre;1956;Paris 9
Roger Frey;ministre;1913;Nouméa
Roger Frey;ministre;1913;Nouméa
Roger Frey;ministre;1913;Nouméa
Roger Frey;ministre;1913;Nouméa
Roger Frey;ministre;1913;Nouméa
Roger Frey;ministre;1913;Nouméa
Roger Frey;ministre;1913;Nouméa
Roger Frey;ministre;1913;Nouméa
Roger Frey;ministre;1913;Nouméa
Roger Frey;ministre;1913;Nouméa
Raymond Triboulet;ministre;1906;Paris 1
Raymond Triboulet;ministre;1906;Paris 1
Raymond Triboulet;ministre;1906;Paris 1
Raymond Triboulet;ministre;1906;Paris 1
Raymond Triboulet;ministre;1906;Paris 1
Pierre Joxe;ministre;1934;Paris 1
Pierre Joxe;ministre;1934;Paris 1
Pierre Joxe;ministre;1934;Paris 1
Pierre Joxe;ministre;1934;Paris 1
Pierre Joxe;ministre;1934;Paris 1
Félix Houphouët Boigny;ministre;1905;N'Gokro
Félix Houphouët Boigny;ministre;1905;N'Gokro
Félix Houphouët Boigny;ministre;1905;N'Gokro
Robert Lecourt;ministre;1908;Pavilly
Lucien Paye;ministre;1907;Vernoil
Lucien Paye;ministre;1907;Vernoil
Pierre Messmer;ministre;1916;Vincennes
Pierre Messmer;ministre;1916;Vincennes
Pierre Messmer;ministre;1916;Vincennes
Pierre Messmer;ministre;1916;Vincennes
Pierre Messmer;ministre;1916;Vincennes
Pierre Messmer;ministre;1916;Vincennes
Pierre Messmer;ministre;1916;Vincennes
Maurice Bokanowski;ministre;1879;Le Havre
Maurice Bokanowski;ministre;1879;Le Havre
Maurice Bokanowski;ministre;1879;Le Havre
Maurice Bokanowski;ministre;1879;Le Havre
