name,tag,dob,pob,dept_num,dept_ob,region,lat,lon,confidence
Georges Chavannes,ministre,Not found,Not found,foreign,foreign,foreign,,,
Hervé de Charrette,ministre,Not found,Not found,foreign,foreign,foreign,,,
Yves Galand,ministre,Not found,Not found,foreign,foreign,foreign,,,
Jean-Pierre Chevênnement,ministre,Not found,Not found,foreign,foreign,foreign,,,
Jacques Pelletier,ministre,Not found,Not found,foreign,foreign,foreign,,,
Bruno Durieu,ministre,Not found,Not found,foreign,foreign,foreign,,,
Hervé de Charrette,ministre,Not found,Not found,foreign,foreign,foreign,,,
Hervé de Charrette,ministre,Not found,Not found,foreign,foreign,foreign,,,
Jean-jacques de Peretti,ministre,Not found,Not found,foreign,foreign,foreign,,,
Yves Galand,ministre,Not found,Not found,foreign,foreign,foreign,,,
Hervé de Charrette,ministre,Not found,Not found,foreign,foreign,foreign,,,
Jean-Pierre Chevênement,ministre,Not found,Not found,foreign,foreign,foreign,,,
nan ChevênementJean-Pierre,ministre,Not found,Not found,foreign,foreign,foreign,,,
François d' Aubert,ministre,Not found,Not found,foreign,foreign,foreign,,,
François Barroin,ministre,Not found,Not found,foreign,foreign,foreign,,,
François Barroin,ministre,Not found,Not found,foreign,foreign,foreign,,,
Hervé Martinon,ministre,Not found,Not found,foreign,foreign,foreign,,,
Gilles De Robien,ministre,Not found,Not found,foreign,foreign,foreign,,,
Laurent Wauquier,ministre,Not found,Not found,foreign,foreign,foreign,,,
Henri De Raincourt,ministre,Not found,Not found,foreign,foreign,foreign,,,
Marie Luce Penchard,ministre,Not found,Not found,foreign,foreign,foreign,,,
Laurent Wauquier,ministre,Not found,Not found,foreign,foreign,foreign,,,
Henri De Raincourt,ministre,Not found,Not found,foreign,foreign,foreign,,,
Marie Luce Penchard,ministre,Not found,Not found,foreign,foreign,foreign,,,
Aurelie Filipetti,ministre,Not found,Not found,foreign,foreign,foreign,,,
Malylise Lebranchu,ministre,Not found,Not found,foreign,foreign,foreign,,,
Victor Lurel,ministre,Not found,Not found,foreign,foreign,foreign,,,
Georges Pau-Langevin (Mme),ministre,Not found,Not found,foreign,foreign,foreign,,,
Najat Vallaud-Belkasen,ministre,Not found,Not found,foreign,foreign,foreign,,,
Najat Vallaud-Belkacem,ministre,Not found,Not found,foreign,foreign,foreign,,,
Jean Marc Ayrault,ministre,Not found,Not found,foreign,foreign,foreign,,,
Jean Jacques Urvoas,ministre,Not found,Not found,foreign,foreign,foreign,,,
Jean Michel Baylet,ministre,Not found,Not found,foreign,foreign,foreign,,,
Christiane Eckert,ministre,Not found,Not found,foreign,foreign,foreign,,,
Jean Marc Ayrault,ministre,Not found,Not found,foreign,foreign,foreign,,,
Najat Vallaud-belkacem,ministre,Not found,Not found,foreign,foreign,foreign,,,
Jean Jacques Urvoas,ministre,Not found,Not found,foreign,foreign,foreign,,,
Jean Michel Baylet,ministre,Not found,Not found,foreign,foreign,foreign,,,
Audrey Azouley,ministre,Not found,Not found,foreign,foreign,foreign,,,
Gérard Darmanin,ministre,Not found,Not found,foreign,foreign,foreign,,,
Muriel de Sarnez,ministre,Not found,Not found,foreign,foreign,foreign,,,
Nicole Béloubet,ministre,Not found,Not found,foreign,foreign,foreign,,,
Gérard Darmanin,ministre,Not found,Not found,foreign,foreign,foreign,,,
