name;tag;dob;pob;dept_num;dept_ob;region;lat;lon;confidence
Sanjay Subrahmanyam;college_de_france;1961;New Delhi;33;Gironde;Nouvelle-Aquitaine;44.869736;-0.54963;0.309
Sanjay Subrahmanyam;college_de_france;1961;New Delhi;33;Gironde;Nouvelle-Aquitaine;44.869736;-0.54963;0.309
Jean-Luc Fournet;college_de_france;1965;Bordeaux;33;Gironde;Nouvelle-Aquitaine;44.851897;-0.587877;0.961
Pierre Courcelle;college_de_france;1912;Orléans;45;Loiret;Centre-Val de Loire;47.873569;1.911358;0.957
Claude Lévi-Strauss;college_de_france;1908;Bruxelles;45;Loiret;Centre-Val de Loire;47.773607;2.881945;0.944
Lucien Bernot;college_de_france;1919;Gien;45;Loiret;Centre-Val de Loire;47.69809;2.645031;0.947
Antoine Compagnon;college_de_france;1950;Bruxelles;45;Loiret;Centre-Val de Loire;47.773607;2.881945;0.944
Marc Henneaux;college_de_france;1955;Bruxelles;45;Loiret;Centre-Val de Loire;47.773607;2.881945;0.944
Christian Gollier;college_de_france;1961;Bruxelles;45;Loiret;Centre-Val de Loire;47.773607;2.881945;0.944
André Lichnerowicz;college_de_france;1915;Bourbon-l'Archambault;3;Allier;Auvergne-Rhône-Alpes;46.580561;3.059294;0.94
Charles Oberling;college_de_france;1895;Metz;57;Moselle;Grand Est;49.108385;6.194891;0.957
Nathan Wachtel;college_de_france;1935;Metz;57;Moselle;Grand Est;49.108385;6.194891;0.957
François Déroche;college_de_france;1952;Metz;57;Moselle;Grand Est;49.108385;6.194891;0.957
Pierre-Michel Menger;college_de_france;1953;Forbach;57;Moselle;Grand Est;49.190789;6.893798;0.949
Jean Gagé;college_de_france;1902;Nainville-les-Roches;91;Essonne;Île-de-France;48.505229;2.49527;0.933
Anny Cazenave;college_de_france;1944;Draveil;91;Essonne;Île-de-France;48.677829;2.412138;0.951
Pascale Senellart;college_de_france;1972;Corbeil-Essonnes;91;Essonne;Île-de-France;48.598229;2.465045;0.954
François Perroux;college_de_france;1903;Lyon;69;Rhône;Auvergne-Rhône-Alpes;45.758;4.835;0.964
Antoine Guillaumont;college_de_france;1915;L'Arbresle;69;Rhône;Auvergne-Rhône-Alpes;45.834532;4.610769;0.944
Roger Chartier;college_de_france;1945;Lyon;69;Rhône;Auvergne-Rhône-Alpes;45.758;4.835;0.964
Pierre-Laurent Aimard;college_de_france;1957;Lyon;69;Rhône;Auvergne-Rhône-Alpes;45.758;4.835;0.964
Sandra Lavorel;college_de_france;1965;Lyon;69;Rhône;Auvergne-Rhône-Alpes;45.758;4.835;0.964
Etienne Wolff;college_de_france;1904;Auxerre;89;Yonne;Bourgogne-Franche-Comté;47.791247;3.579905;0.952
Henri Laoust;college_de_france;1905;Fresnes-sur-Escaut;59;Nord;Hauts-de-France;50.433148;3.574831;0.945
Stanislas Dehaene;college_de_france;1965;Roubaix;59;Nord;Hauts-de-France;50.688454;3.183662;0.956
Laurent Coulon;college_de_france;1970;Villeneuve-d'Ascq;59;Nord;Hauts-de-France;50.637788;3.147967;0.954
Alain Horeau;college_de_france;1909;Nantes;44;Loire-Atlantique;Pays de la Loire;47.239367;-1.555335;0.962
Jean Delumeau;college_de_france;1923;Nantes;44;Loire-Atlantique;Pays de la Loire;47.239367;-1.555335;0.962
Ian Hacking;college_de_france;1936;Vancouver;44;Loire-Atlantique;Pays de la Loire;47.259249;-1.577679;0.699
Edouard Bard;college_de_france;1962;Genève;44;Loire-Atlantique;Pays de la Loire;47.21202;-1.60215;0.708
John Scheid;college_de_france;1946;Luxembourg;44;Loire-Atlantique;Pays de la Loire;47.230756;-1.35472;0.95
Alain Supiot;college_de_france;1949;Nantes;44;Loire-Atlantique;Pays de la Loire;47.239367;-1.555335;0.962
Gilles Bœuf;college_de_france;1950;Paimbœuf;44;Loire-Atlantique;Pays de la Loire;47.286082;-2.028603;0.941
Denis Duboule;college_de_france;1955;Genève;44;Loire-Atlantique;Pays de la Loire;47.21202;-1.60215;0.708
Edhem Eldem;college_de_france;1960;Genève;44;Loire-Atlantique;Pays de la Loire;47.21202;-1.60215;0.708
Denis Duboule;college_de_france;1955;Genève;44;Loire-Atlantique;Pays de la Loire;47.21202;-1.60215;0.708
Alfred Sauvy;college_de_france;1898;Villeneuve-de-la-Raho;66;Pyrénées-Orientales;Occitanie;42.639539;2.909431;0.942
Louis  Leprince-Ringuet;college_de_france;1901;Alès;30;Gard;Occitanie;44.125356;4.089242;0.953
Maurice Agulhon;college_de_france;1926;Uzès;30;Gard;Occitanie;44.021276;4.415586;0.945
William Marx;college_de_france;1966;Villeneuve-lès-Avignon;30;Gard;Occitanie;43.971791;4.77692;0.947
Jules Vuillemin;college_de_france;1920;Pierrefontaine-les-Va;25;Doubs;Bourgogne-Franche-Comté;47.214176;6.541457;0.679
Jean Hyppolite;college_de_france;1907;Jonzac;17;Charente-Maritime;Nouvelle-Aquitaine;45.444416;-0.427413;0.941
Lea Ypi;college_de_france;1979;Tirana;17;Charente-Maritime;Nouvelle-Aquitaine;46.170384;-1.171936;0.693
André Dupont-Sommer;college_de_france;1900;Marnes-la-Coquette;92;Hauts-de-Seine;Île-de-France;48.835162;2.170097;0.938
Christian Goudineau;college_de_france;1939;Neuilly-sur-Seine;92;Hauts-de-Seine;Île-de-France;48.886191;2.265869;0.954
Pierre Corvol;college_de_france;1941;Boulogne-Billancourt;92;Hauts-de-Seine;Île-de-France;48.837892;2.241994;0.957
Alain Berthoz;college_de_france;1939;Neuilly-sur-Seine;92;Hauts-de-Seine;Île-de-France;48.886191;2.265869;0.954
Michel Zink;college_de_france;1945;Issy-les-Moulineaux;92;Hauts-de-Seine;Île-de-France;48.823903;2.262887;0.955
Philippe Kourilsky;college_de_france;1942;Boulogne-Billancourt;92;Hauts-de-Seine;Île-de-France;48.837892;2.241994;0.957
Jacques Livage;college_de_france;1938;Neuilly-sur-Seine;92;Hauts-de-Seine;Île-de-France;48.886191;2.265869;0.954
Henry Laurens;college_de_france;1954;Neuilly-sur-Seine;92;Hauts-de-Seine;Île-de-France;48.886191;2.265869;0.954
Ariane Mnouchkine;college_de_france;1939;Boulogne-Billancourt;92;Hauts-de-Seine;Île-de-France;48.837892;2.241994;0.957
Alain de Libera;college_de_france;1948;Neuilly-sur-Seine;92;Hauts-de-Seine;Île-de-France;48.886191;2.265869;0.954
Didier Roux;college_de_france;1955;Neuilly-sur-Seine;92;Hauts-de-Seine;Île-de-France;48.886191;2.265869;0.954
Stéphane Mallat;college_de_france;1962;Suresnes;92;Hauts-de-Seine;Île-de-France;48.870985;2.218087;0.953
Jean-Claude Pecker;college_de_france;1923;Reims;51;Marne;Grand Est;49.250948;4.055595;0.959
Jean-Paul Clozel;college_de_france;1955;Châlons-sur-Marne;51;Marne;Grand Est;48.898266;4.339489;0.679
Louis Hambis;college_de_france;1906;Ligugé;86;Vienne;Nouvelle-Aquitaine;46.521779;0.285561;0.941
Michel Foucault;college_de_france;1926;Poitiers;86;Vienne;Nouvelle-Aquitaine;46.586578;0.35668;0.956
Claude Hagège;college_de_france;1936;Carthage;86;Vienne;Nouvelle-Aquitaine;46.522289;0.454441;0.942
Bernard Meunier;college_de_france;1947;Poitiers;86;Vienne;Nouvelle-Aquitaine;46.586578;0.35668;0.956
Louis Fensterbank;college_de_france;1967;Poitiers;86;Vienne;Nouvelle-Aquitaine;46.586578;0.35668;0.956
Georges Blin;college_de_france;1917;Pertuis;84;Vaucluse;Provence-Alpes-Côte d'Azur;43.690751;5.501097;0.949
Maurice Le Lannou;college_de_france;1906;Plouha;22;Côtes-d'Armor;Bretagne;48.687573;-2.931222;0.943
Jacques Thuillier;college_de_france;1928;Vaucouleurs;22;Côtes-d'Armor;Bretagne;48.436933;-2.131917;0.948
Yvon Maday ;college_de_france;1957;Saint-Brieuc;22;Côtes-d'Armor;Bretagne;48.508238;-2.766074;0.953
André Bareau;college_de_france;1921;Saint-Mandé;94;Val-de-Marne;Île-de-France;48.841526;2.419441;0.949
Jacques Ruffié;college_de_france;1921;Limoux;11;Aude;Occitanie;43.049781;2.237853;0.946
Jean Guilaine;college_de_france;1936;Carcassonne;11;Aude;Occitanie;43.206781;2.349415;0.953
Marc Fontecave;college_de_france;1956;Carcassonne;11;Aude;Occitanie;43.206781;2.349415;0.953
André Caquot;college_de_france;1923;Épinal;88;Vosges;Grand Est;48.170226;6.484892;0.951
Claude Cohen-Tannoudji;college_de_france;1933;Constantine;85;Vendée;Pays de la Loire;46.83879;-1.467818;0.957
