pob;dept_num;median;gini
Montagnieu;1255;22080;
Montanges;1257;30110;
Montceaux;1258;27440;
Montcet;1259;24810;
Le Montellier;1260;28850;
Monthieux;1261;28010;
Montluel;1262;23590;0.253
Montmerle-sur-Saône;1263;25970;0.228
Montracol;1264;25180;
Montréal-la-Cluse;1265;21010;0.255
Montrevel-en-Bresse;1266;22720;0.216
Nurieux-Volognat;1267;25120;
Murs-et-Gélignieux;1268;24830;
Nantua;1269;18370;0.324
Neuville-les-Dames;1272;23200;
Neuville-sur-Ain;1273;23060;
Les Neyrolles;1274;20810;
Neyron;1275;30240;0.376
Niévroz;1276;28000;
Nivollet-Montgriffon;1277;23550;
Oncieu;1279;;
Ordonnaz;1280;23420;
Ornex;1281;37070;0.434
Outriaz;1282;25470;
Oyonnax;1283;18340;0.3
Ozan;1284;23270;
Parcieux;1285;29480;
Parves et Nattages;1286;26600;
Péron;1288;39700;0.338
Péronnas;1289;24100;0.243
Pérouges;1290;26770;
Perrex;1291;24000;
Peyriat;1293;24740;
Peyrieu;1294;23600;
Peyzieux-sur-Saône;1295;24570;
Pirajoux;1296;22920;
Pizay;1297;27060;
Plagne;1298;29270;
Le Plantay;1299;25540;
Polliat;1301;25060;0.224
Pollieu;1302;24270;
Poncin;1303;22280;
Pont-d'Ain;1304;22810;0.237
Pont-de-Vaux;1305;21070;0.239
Pont-de-Veyle;1306;21330;
Port;1307;22270;
Pougny;1308;41270;
Pouillat;1309;;
Prémeyzel;1310;24070;
Prémillieu;1311;;
Prévessin-Moëns;1313;44430;0.425
Priay;1314;25110;
Ramasse;1317;24270;
Rancé;1318;29400;
Relevant;1319;25090;
Replonges;1320;24890;0.234
Revonnas;1321;27570;
Reyrieux;1322;29130;0.263
Reyssouze;1323;23300;
Rignieux-le-Franc;1325;26270;
Romans;1328;25220;
Rossillon;1329;20680;
Ruffieu;1330;21390;
Saint-Alban;1331;24030;
Saint-André-de-Bâgé;1332;25800;
Saint-André-de-Corcy;1333;26550;0.217
Saint-André-d'Huiriat;1334;24370;
Saint-André-le-Bouchoux;1335;25930;
Saint-André-sur-Vieux-Jonc;1336;24070;
Saint-Bénigne;1337;23070;
Groslée-Saint-Benoit;1338;23430;
Saint-Bernard;1339;32220;
Sainte-Croix;1342;30350;
Saint-Cyr-sur-Menthon;1343;24170;
Saint-Denis-lès-Bourg;1344;25580;0.237
Saint-Denis-en-Bugey;1345;23670;0.224
Saint-Didier-d'Aussiat;1346;24190;
Saint-Didier-de-Formans;1347;28190;0.261
Saint-Didier-sur-Chalaronne;1348;23560;0.218
Saint-Éloi;1349;26490;
Saint-Étienne-du-Bois;1350;24380;0.219
Saint-Étienne-sur-Chalaronne;1351;23960;
Saint-Étienne-sur-Reyssouze;1352;23260;
Sainte-Euphémie;1353;27990;
Saint-Genis-Pouilly;1354;30790;0.423
Saint-Genis-sur-Menthon;1355;24660;
Saint-Georges-sur-Renon;1356;25660;
Saint-Germain-de-Joux;1357;21610;
Saint-Germain-les-Paroisses;1358;23210;
Saint-Germain-sur-Renon;1359;25790;
Saint-Jean-de-Gonville;1360;42220;
Saint-Jean-de-Niost;1361;28140;
Saint-Jean-de-Thurigneux;1362;28910;
Saint-Jean-le-Vieux;1363;24660;
Saint-Jean-sur-Reyssouze;1364;22170;
Saint-Jean-sur-Veyle;1365;24530;
Sainte-Julie;1366;24930;
Saint-Julien-sur-Reyssouze;1367;22270;
Saint-Julien-sur-Veyle;1368;23300;
Saint-Just;1369;27390;
Saint-Laurent-sur-Saône;1370;19550;
Saint-Marcel;1371;25130;
Saint-Martin-de-Bavel;1372;25590;
Saint-Martin-du-Frêne;1373;25030;
Saint-Martin-du-Mont;1374;25490;
Saint-Martin-le-Châtel;1375;25350;
Saint-Maurice-de-Beynost;1376;23570;0.24
Saint-Maurice-de-Gourdans;1378;28170;0.219
Saint-Maurice-de-Rémens;1379;24110;
Saint-Nizier-le-Bouchoux;1380;22400;
Saint-Nizier-le-Désert;1381;24340;
Sainte-Olive;1382;25280;
Saint-Paul-de-Varax;1383;23200;
Saint-Rambert-en-Bugey;1384;20170;0.228
Saint-Rémy;1385;27430;
Saint-Sorlin-en-Bugey;1386;26690;
Saint-Sulpice;1387;23240;
Saint-Trivier-de-Courtes;1388;21030;
Saint-Trivier-sur-Moignans;1389;23920;
Saint-Vulbas;1390;24750;
Salavre;1391;22940;
Samognat;1392;27660;
Sandrans;1393;25970;
Sault-Brénaz;1396;21130;
Sauverny;1397;41070;
Savigneux;1398;26370;
Ségny;1399;42330;0.355
Seillonnaz;1400;22970;
Sergy;1401;42940;
Sermoyer;1402;22230;
Serrières-de-Briord;1403;22690;
Serrières-sur-Ain;1404;23640;
Servas;1405;22670;
Servignat;1406;23480;
Seyssel;1407;23780;
Simandre-sur-Suran;1408;23210;
Sonthonnax-la-Montagne;1410;27530;
Souclin;1411;24340;
Sulignat;1412;24630;
Talissieu;1415;23340;
Tenay;1416;20410;
Thil;1418;30620;
Thoiry;1419;38950;0.424
Thoissey;1420;20430;
