name;tag;dob;pob;dept_ob;dep_num;region;lat;lon;confidence;id
Bernard Bouley;depute;1950;Paris;Paris;75;Île-de-France;48.854446;2.33678;0.473;19508
Jean Marsaudon;depute;1946;Paris 3;Paris;75;Île-de-France;48.863365173339844;2.358234405517578;0.473;5027
Odile Moirin;depute;1942;Paris;Paris;75;Île-de-France;48.854446;2.33678;0.473;5322
Jacques Guyard;depute;1937;Paris 6;Paris;75;Île-de-France;48.85261154174805;2.3332111835479736;0.473;3705
Michel Pelchat;depute;1935;Paris;Paris;75;Île-de-France;48.854446;2.33678;0.473;5757
Jean-Claude Fortuit;depute;1935;Paris;Paris;75;Île-de-France;48.854446;2.33678;0.473;3065
Maurice, Jean Fraudeau;depute;1924;Paris 4;Paris;75;Île-de-France;48.854515075683594;2.3588101863861084;0.473;3137
Léo Hamon;depute;1908;Paris 13;Paris;75;Île-de-France;48.836666107177734;2.403441905975342;0.473;3743
Marc Vampa;depute;1946;Paris;Paris;75;Île-de-France;48.854446;2.33678;0.473;17393
Jean de Broglie;depute;1921;Paris 8;Paris;75;Île-de-France;48.87311553955078;2.310023307800293;0.473;1250
Pierre Monfrais;depute;1917;Paris 15;Paris;75;Île-de-France;48.84374237060547;2.2927637100219727;0.473;5340
Marie-France Stirbois;depute;1944;Paris 8;Paris;75;Île-de-France;48.87311553955078;2.310023307800293;0.473;6910
Pierre Lelong;depute;1931;Paris 7;Paris;75;Île-de-France;48.857215881347656;2.3098840713500977;0.473;7743
Georges Lombard;depute;1925;Paris 11;Paris;75;Île-de-France;48.86030960083008;2.3786137104034424;0.473;7880
Edmond Michelet;depute;1899;Paris 19;Paris;75;Île-de-France;48.88661575317383;2.384809970855713;0.473;5266
Pieyre-Alexandre Anglade;depute;1986;Paris 16;Paris;75;Île-de-France;48.86101150512695;2.2834136486053467;0.459;19012
Paula Forteza;depute;1986;Paris;Paris;75;Île-de-France;48.825944;2.385147;0.459;19158
Eléonore Caroit;depute;1985;Paris;Paris;75;Île-de-France;48.825944;2.385147;0.459;19600
Remi Provendier;depute;1971;Paris;Paris;75;Île-de-France;48.825944;2.385147;0.459;20031
Roland Lescure;depute;1966;Paris 11;Paris;75;Île-de-France;48.86030960083008;2.3786137104034424;0.459;19250
Pierre Meurin;depute;1989;Paris;Paris;75;Île-de-France;48.825944;2.385147;0.459;19744
Georgina Dufoix;depute;1942;Paris;Paris;75;Île-de-France;48.854446;2.33678;0.473;2671
Gilbert Millet;depute;1930;Paris 7;Paris;75;Île-de-France;48.857215881347656;2.3098840713500977;0.473;5285
Charles Pineton de Chambrun;depute;1930;Paris;Paris;75;Île-de-France;48.854446;2.33678;0.473;1621
Jean-René Cazeneuve;depute;1958;Paris;Paris;75;Île-de-France;48.854446;2.33678;0.473;19080
Patrice, Pierre, François Brocas;depute;1919;Paris 8;Paris;75;Île-de-France;48.87311553955078;2.310023307800293;0.473;1245
Pierre de Montesquiou;depute;1909;Paris 8;Paris;75;Île-de-France;48.87311553955078;2.310023307800293;0.473;5382
Jacques, Michel, Pierre Chaban-Delmas;depute;1915;Paris 13;Paris;75;Île-de-France;48.836666107177734;2.403441905975342;0.473;10179
Robert Brettes;depute;1902;Paris 6;Paris;75;Île-de-France;48.85261154174805;2.3332111835479736;0.473;1205
Dominique Baudis;depute;1947;Paris 9;Paris;75;Île-de-France;48.872615814208984;2.340359926223755;0.473;492
René Cathala;depute;1927;Paris 14;Paris;75;Île-de-France;48.83161926269531;2.3244473934173584;0.473;1522
Antoine Armand;depute;1991;Paris;Paris;75;Île-de-France;48.825944;2.385147;0.459;19562
Evelyne Guilhem;depute;1955;Paris;Paris;75;Île-de-France;48.854446;2.33678;0.473;3667
Jacques Boutard;depute;1906;Paris 17;Paris;75;Île-de-France;48.88784408569336;2.3070974349975586;0.473;1119
Robert de Caumont;depute;1930;Paris 17;Paris;75;Île-de-France;48.88784408569336;2.3070974349975586;0.473;1532
Marie François-Bénard;depute;1917;Paris 6;Paris;75;Île-de-France;48.85261154174805;2.3332111835479736;0.473;3129
Jacques Fourcade;depute;1902;Paris 9;Paris;75;Île-de-France;48.872615814208984;2.340359926223755;0.473;3087
Élisabeth De Maistre;depute;1975;Paris;Paris;75;Île-de-France;48.825944;2.385147;0.459;20039
