name;tag;dob;pob
Jean Beranger;senat;1925;Not found
Jacques Berard;senat;1929;Bédarrides
Georges Berchet;senat;1926;Annecy
Aimé Bergeal;senat;1912;Lescure-d'Albigeois
Maryse Bergé-Lavigne;senat;1941;Unknown
Christian Bergelin;senat;1945;Gray
Claude Bérit-Débat;senat;1946;Mirepeix
Jean Bernadaux;senat;1935;Deneuvre
Jean Bernard;senat;1924;Not found
Roland Bernard;senat;1944;Lyon 3
Daniel Bernardet;senat;1927;Lourouer-Saint-Laurent
Pierre Bernard-Reymond;senat;1944;Gap
Lucien Bernier;senat;1914;Saint-François
Noël Berrier;senat;1914;Avallon
Michel Berson;senat;1945;Goussainville
Claude Bertaud;senat;1945;Unknown
Jean Bertaud;senat;1899;Not found
Martine Berthet;senat;1961;Chambéry
Jean Berthoin;senat;1899;Not found
Jacques Berthou;senat;1940;Lyon
Alain Bertrand;senat;1951;Saint-Juéry
Anne-Marie Bertrand;senat;1942;Graveson
Marcel Bertrand;senat;1904;Berlaimont
Guy Besse;senat;1926;Brion
Roger Besse;senat;1929;Ydes
Marie-Pierre Bessin-Guérin;senat;1956;Not found
Jean Besson;senat;1948;Not found
Roger Besson;senat;1899;Not found
Laurent Béteille;senat;1948;Nîmes
Antoine Bethouart;senat;1899;Not found
André Bettencourt;senat;1919;Saint-Maurice-d'Ételan
Jacques Bialski;senat;1929;Dunkerque
Pierre Biarnès;senat;1932;Unknown
Danielle Bidard-Reydet;senat;1939;Unknown
Jérôme Bignon;senat;1949;Neuilly-sur-Seine
Jacques Bigot;senat;1952;Strasbourg
Joël Bigot;senat;1949;Cersay
Christian Bilhac;senat;1955;Clermont-l'Hérault
Claude Billard;senat;1941;Corquilleroy
Joël Billard;senat;1953;Unknown
René Billeres;senat;1910;Not found
Auguste Billiemaz;senat;1903;Not found
Annick Billon;senat;1967;Antony
Michel Billout;senat;1958;Paris
Jacques Bimbenet;senat;1928;Contres
Olivier Bitz;senat;1975;Schiltigheim
Claude Biwer;senat;1936;Marville
Jean Bizet;senat;1947;Le Teilleul
François Blaizot;senat;1923;Mauvezin
Étienne Blanc;senat;1954;Givors
Grégory Blanc;senat;1980;Unknown
Jacques Blanc;senat;1939;Rodez
Jean-Baptiste Blanc;senat;1972;Not found
Jean-Pierre Blanc;senat;1920;Not found
Paul Blanc;senat;1937;Ille-sur-Têt
Jean-Pierre Blanchet;senat;1914;Bordeaux
Marie-Christine Blandin;senat;1952;Roubaix
Valérie Blandin;senat;1980;Unknown
Florence Blatrix Contat;senat;1966;Unknown
Yves Bleunven;senat;1963;Brest
Maurice Blin;senat;1922;Bogny-sur-Meuse
René Blondelle;senat;1907;Pouilly-sur-Serre
Maryvonne Blondin;senat;1947;Quimper
Annick Bocandé;senat;1946;Paris
Jean-Marie Bockel;senat;1950;Strasbourg
Éric Bocquet;senat;1957;Marquillies
Yannick Bodin;senat;1942;Dinan
Marc Boeuf;senat;1934;Bordeaux
André Bohl;senat;1936;Unknown
Roger Boileau;senat;1914;Nancy
Raymond Boin;senat;1908;Bergerac
Jacques Boisrond;senat;1899;Not found
Stéphane Bonduel;senat;1919;Pékin
Christine Bonfanti-Dossat;senat;1956;Unknown
François Bonhomme;senat;1969;Unknown
Charles Bonifay;senat;1919;Marseille
Bernard Bonne;senat;1948;Roanne
François Bonneau;senat;1958;Not found
Philippe Bonnecarrère;senat;1955;Toulouse
Edouard Bonnefous;senat;1907;Paris 16
Raymond Bonnefous;senat;1899;Not found
Nicole Bonnefoy;senat;1958;Saint-Flour
Christian Bonnet;senat;1921;Paris 12
Eugène Bonnet;senat;1922;Lapasset
Georges Bonnet;senat;1907;Mas-d'Orcières
Michel Bonnus;senat;1965;Unknown
Marcel Bony;senat;1926;Saint-Sauves
Françoise Boog;senat;1960;Unknown
Alexandra Borchio Fontimp;senat;1981;Antibes
James Bordas;senat;1929;Libourne
Patricia Bordas;senat;1956;Unknown
Jacques Bordeneuve;senat;1908;Sainte-Livrade-sur-Lot
Pierre Bordier;senat;1945;Unknown
Patrick Boré;senat;1956;Toulon
Pascale Bories;senat;1969;Cannes
Didier Borotra;senat;1937;Nantes
Nicole Borvo Cohen-Seat;senat;1945;Marseille
Roland Boscary-Monsservin;senat;1904;Rodez
Jean-Pierre Bosino;senat;1959;Paris 14
Charles Bosson;senat;1908;Genève
Raymond Bossus;senat;1903;Paris 20
Yannick Botrel;senat;1951;Pabu
Denis Bouad;senat;1952;Lansargues
Natacha Bouchart;senat;1963;Lens
Serge Boucheny;senat;1929;Paris 6
Albert Boucher;senat;1899;Not found
Gilbert Bouchet;senat;1947;La Voulte-sur-Rhône
Corinne Bouchoux;senat;1964;Issy-les-Moulineaux
Ahmed Boukikaz;senat;1909;Not found
Marcel Boulangé;senat;1913;Gugney-aux-Aulx
Georges Boulanger;senat;1913;Saint-Maur-des-Fossés
Jean-Claude Boulard;senat;1943;Not found
Didier Boulaud;senat;1950;Yzeure
Céline Boulay-Espéronnier;senat;1970;Unknown
Jean-Marie Bouloux;senat;1916;Montmorillon
Yves Bouloux;senat;1960;Unknown
Alima Boumediene-Thiery;senat;1956;Argenteuil
Pierre Bouneau;senat;1908;Barsac
Amédée Bouquerel;senat;1908;Raimbeaucourt
Corinne Bourcier;senat;1969;Unknown
Pierre Bourda;senat;1912;Vic-en-Bigorre
Joël Bourdin;senat;1938;La Barre-en-Ouche
Yvon Bourges;senat;1921;Pau
Hussein Bourgi;senat;1973;Dakar
Raymond Bourgine;senat;1925;Diego-Suarez
Frédéric Bourguet;senat;1899;Not found
Brigitte Bourguignon;senat;1959;Boulogne-sur-Mer
Christian Bourquin;senat;1954;Saint-Féliu-d'Amont
Martial Bourquin;senat;1952;Mont-Saint-Martin
Toine Bourrat;senat;1968;Hénin-Beaumont
Bernadette Bourzai;senat;1945;Lapleau
Jean-Eric Bousch;senat;1910;Not found
Brigitte Bout;senat;1941;Armentières
Michel Boutant;senat;1956;Chabanais
André Boutemy;senat;1905;Bécherel
Michel Bouvard;senat;1955;Argenteuil
Robert Bouvard;senat;1901;Aurec-sur-Loire
Raymond Bouvier;senat;1928;Bogève
André Boyer;senat;1931;Bretenoux
Eric Boyer;senat;1939;Not found
Eugène Boyer;senat;1922;Barcelone
Jean Boyer;senat;1937;Le Puy-en-Velay
Jean Boyer;senat;1923;Not found
Jean-Marc Boyer;senat;1954;Bagnols
